yourlist:M2022040592C7BAECDB1C5C413EE0E0348724B682493F9F6	Entry	Entry name	Status	Protein names	Gene names	Cross-reference (GeneID)	Organism	Length
SLC25A46	Q96AG3	S2546_HUMAN	reviewed	Mitochondrial outer membrane protein SLC25A46 (Solute carrier family 25 member 46)	SLC25A46 TB1	91137;	Homo sapiens (Human)	418
RRP1B	Q14684	RRP1B_HUMAN	reviewed	Ribosomal RNA processing protein 1 homolog B (RRP1-like protein B)	RRP1B KIAA0179	23076;	Homo sapiens (Human)	758
AXIN1	O15169	AXIN1_HUMAN	reviewed	Axin-1 (Axis inhibition protein 1) (hAxin)	AXIN1 AXIN	8312;	Homo sapiens (Human)	862
DCUN1D4	Q92564	DCNL4_HUMAN	reviewed	DCN1-like protein 4 (DCNL4) (DCUN1 domain-containing protein 4) (Defective in cullin neddylation protein 1-like protein 4)	DCUN1D4 KIAA0276	23142;	Homo sapiens (Human)	292
MAPKAPK5	Q8IW41	MAPK5_HUMAN	reviewed	MAP kinase-activated protein kinase 5 (MAPK-activated protein kinase 5) (MAPKAP kinase 5) (MAPKAP-K5) (MAPKAPK-5) (MK-5) (MK5) (EC 2.7.11.1) (p38-regulated/activated protein kinase) (PRAK)	MAPKAPK5 PRAK	8550;	Homo sapiens (Human)	473
C2CD2	Q9Y426	C2CD2_HUMAN	reviewed	C2 domain-containing protein 2 (Transmembrane protein 24-like)	C2CD2 C21orf25 C21orf258 TMEM24L	25966;	Homo sapiens (Human)	696
WDR7	Q9Y4E6	WDR7_HUMAN	reviewed	WD repeat-containing protein 7 (Rabconnectin-3 beta) (TGF-beta resistance-associated protein TRAG)	WDR7 KIAA0541 TRAG	23335;	Homo sapiens (Human)	1490
SUPV3L1	Q8IYB8	SUV3_HUMAN	reviewed	ATP-dependent RNA helicase SUPV3L1, mitochondrial (EC 3.6.4.13) (Suppressor of var1 3-like protein 1) (SUV3-like protein 1)	SUPV3L1 SUV3	6832;	Homo sapiens (Human)	786
CDK19	Q9BWU1	CDK19_HUMAN	reviewed	Cyclin-dependent kinase 19 (EC 2.7.11.22) (CDC2-related protein kinase 6) (Cell division cycle 2-like protein kinase 6) (Cell division protein kinase 19) (Cyclin-dependent kinase 11) (Death-preventing kinase)	CDK19 CDC2L6 CDK11 KIAA1028	23097;	Homo sapiens (Human)	502
THAP11	Q96EK4	THA11_HUMAN	reviewed	THAP domain-containing protein 11	THAP11 HRIHFB2206	57215;	Homo sapiens (Human)	314
C2CD5	Q86YS7	C2CD5_HUMAN	reviewed	C2 domain-containing protein 5 (C2 domain-containing phosphoprotein of 138 kDa)	C2CD5 CDP138 KIAA0528	9847;	Homo sapiens (Human)	1000
POLR2I	P36954	RPB9_HUMAN	reviewed	DNA-directed RNA polymerase II subunit RPB9 (RNA polymerase II subunit B9) (DNA-directed RNA polymerase II subunit I) (RNA polymerase II 14.5 kDa subunit) (RPB14.5)	POLR2I	5438;	Homo sapiens (Human)	125
RFNG	Q9Y644	RFNG_HUMAN	reviewed	Beta-1,3-N-acetylglucosaminyltransferase radical fringe (EC 2.4.1.222) (O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase)	RFNG	5986;	Homo sapiens (Human)	331
RPIA	P49247	RPIA_HUMAN	reviewed	Ribose-5-phosphate isomerase (EC 5.3.1.6) (Phosphoriboisomerase)	RPIA RPI	22934;	Homo sapiens (Human)	311
TLK2	Q86UE8	TLK2_HUMAN	reviewed	Serine/threonine-protein kinase tousled-like 2 (EC 2.7.11.1) (HsHPK) (PKU-alpha) (Tousled-like kinase 2)	TLK2	11011;	Homo sapiens (Human)	772
TIAM1	Q13009	TIAM1_HUMAN	reviewed	Rho guanine nucleotide exchange factor TIAM1 (T-lymphoma invasion and metastasis-inducing protein 1) (TIAM-1)	TIAM1	7074;	Homo sapiens (Human)	1591
HOXA10	P31260	HXA10_HUMAN	reviewed	Homeobox protein Hox-A10 (Homeobox protein Hox-1.8) (Homeobox protein Hox-1H) (PL)	HOXA10 HOX1H	3206;	Homo sapiens (Human)	410
COG7	P83436	COG7_HUMAN	reviewed	Conserved oligomeric Golgi complex subunit 7 (COG complex subunit 7) (Component of oligomeric Golgi complex 7)	COG7 UNQ3082/PRO10013	91949;	Homo sapiens (Human)	770
TICAM1	Q8IUC6	TCAM1_HUMAN	reviewed	TIR domain-containing adapter molecule 1 (TICAM-1) (Proline-rich, vinculin and TIR domain-containing protein B) (Putative NF-kappa-B-activating protein 502H) (Toll-interleukin-1 receptor domain-containing adapter protein inducing interferon beta) (MyD88-3) (TIR domain-containing adapter protein inducing IFN-beta)	TICAM1 PRVTIRB TRIF	148022;	Homo sapiens (Human)	712
KLHL9	Q9P2J3	KLHL9_HUMAN	reviewed	Kelch-like protein 9	KLHL9 KIAA1354	55958;	Homo sapiens (Human)	617
SNX13	Q9Y5W8	SNX13_HUMAN	reviewed	Sorting nexin-13 (RGS domain- and PHOX domain-containing protein) (RGS-PX1)	SNX13 KIAA0713	23161;	Homo sapiens (Human)	968
SRC	P12931	SRC_HUMAN	reviewed	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	6714;	Homo sapiens (Human)	536
GDPD5	Q8WTR4	GDPD5_HUMAN	reviewed	Glycerophosphodiester phosphodiesterase domain-containing protein 5 (Glycerophosphocholine phosphodiesterase GDPD5) (EC 3.1.4.2) (Glycerophosphodiester phosphodiesterase 2) (Phosphoinositide phospholipase C GDPD5) (EC 3.1.4.11)	GDPD5 GDE2 PP6037 PP9363 UNQ1850/PRO3580	81544;	Homo sapiens (Human)	605
PLCB3	Q01970	PLCB3_HUMAN	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 (EC 3.1.4.11) (Phosphoinositide phospholipase C-beta-3) (Phospholipase C-beta-3) (PLC-beta-3)	PLCB3	5331;	Homo sapiens (Human)	1234
TBX2	Q13207	TBX2_HUMAN	reviewed	T-box transcription factor TBX2 (T-box protein 2)	TBX2	6909;	Homo sapiens (Human)	712
APBB2	Q92870	APBB2_HUMAN	reviewed	Amyloid beta precursor protein binding family B member 2 (Amyloid-beta (A4) precursor protein-binding family B member 2) (Protein Fe65-like 1)	APBB2 FE65L FE65L1	323;	Homo sapiens (Human)	758
FCHO1	O14526	FCHO1_HUMAN	reviewed	F-BAR domain only protein 1	FCHO1 KIAA0290	23149;	Homo sapiens (Human)	889
FAM69A	Q5T7M9	DIK1A_HUMAN	reviewed	Divergent protein kinase domain 1A (Protein FAM69A)	DIPK1A FAM69A	388650;	Homo sapiens (Human)	428
ASAH1	Q13510	ASAH1_HUMAN	reviewed	Acid ceramidase (AC) (ACDase) (Acid CDase) (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylethanolamine hydrolase ASAH1) (EC 3.5.1.-) (N-acylsphingosine amidohydrolase) (Putative 32 kDa heart protein) (PHP32) [Cleaved into: Acid ceramidase subunit alpha; Acid ceramidase subunit beta]	ASAH1 ASAH HSD-33 HSD33	427;	Homo sapiens (Human)	395
SMARCA4	P51532	SMCA4_HUMAN	reviewed	Transcription activator BRG1 (EC 3.6.4.-) (ATP-dependent helicase SMARCA4) (BRG1-associated factor 190A) (BAF190A) (Mitotic growth and transcription activator) (Protein BRG-1) (Protein brahma homolog 1) (SNF2-beta) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4)	SMARCA4 BAF190A BRG1 SNF2B SNF2L4	6597;	Homo sapiens (Human)	1647
SOX2	P48431	SOX2_HUMAN	reviewed	Transcription factor SOX-2	SOX2	6657;	Homo sapiens (Human)	317
HOXA5	P20719	HXA5_HUMAN	reviewed	Homeobox protein Hox-A5 (Homeobox protein Hox-1C)	HOXA5 HOX1C	3202;	Homo sapiens (Human)	270
TMEM110	Q86TL2	STIMA_HUMAN	reviewed	Store-operated calcium entry regulator STIMATE (STIM-activating enhancer encoded by TMEM110) (Transmembrane protein 110)	STIMATE TMEM110	375346;	Homo sapiens (Human)	294
ATP5S	Q99766	ATP5S_HUMAN	reviewed	ATP synthase subunit s, mitochondrial (ATP synthase-coupling factor B) (FB) (Distal membrane arm assembly complex 2-like protein) (Mitochondrial ATP synthase regulatory component factor B)	DMAC2L ATP5S ATPW	27109;	Homo sapiens (Human)	215
TBC1D31	Q96DN5	TBC31_HUMAN	reviewed	TBC1 domain family member 31 (WD repeat-containing protein 67)	TBC1D31 WDR67	93594;	Homo sapiens (Human)	1066
NFKBIB	Q15653	IKBB_HUMAN	reviewed	NF-kappa-B inhibitor beta (NF-kappa-BIB) (I-kappa-B-beta) (IkB-B) (IkB-beta) (IkappaBbeta) (Thyroid receptor-interacting protein 9) (TR-interacting protein 9) (TRIP-9)	NFKBIB IKBB TRIP9	4793;	Homo sapiens (Human)	356
CTTN	Q14247	SRC8_HUMAN	reviewed	Src substrate cortactin (Amplaxin) (Oncogene EMS1)	CTTN EMS1	2017;	Homo sapiens (Human)	550
PARP2	Q9UGN5	PARP2_HUMAN	reviewed	Poly [ADP-ribose] polymerase 2 (PARP-2) (hPARP-2) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 2) (ARTD2) (DNA ADP-ribosyltransferase PARP2) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 2) (ADPRT-2) (Poly[ADP-ribose] synthase 2) (pADPRT-2) (Protein poly-ADP-ribosyltransferase PARP2) (EC 2.4.2.-)	PARP2 ADPRT2 ADPRTL2	10038;	Homo sapiens (Human)	583
AKR7A2	O43488	ARK72_HUMAN	reviewed	Aflatoxin B1 aldehyde reductase member 2 (EC 1.1.1.n11) (AFB1 aldehyde reductase 1) (AFB1-AR 1) (Aldoketoreductase 7) (Succinic semialdehyde reductase) (SSA reductase)	AKR7A2 AFAR AFAR1 AKR7	8574;	Homo sapiens (Human)	359
ACAA1	P09110	THIK_HUMAN	reviewed	3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Acetyl-CoA acyltransferase) (EC 2.3.1.9) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)	ACAA1 ACAA PTHIO	30;	Homo sapiens (Human)	424
SPDEF	O95238	SPDEF_HUMAN	reviewed	SAM pointed domain-containing Ets transcription factor (Prostate epithelium-specific Ets transcription factor) (Prostate-specific Ets) (Prostate-derived Ets factor)	SPDEF PDEF PSE	25803;	Homo sapiens (Human)	335
RALA	P11233	RALA_HUMAN	reviewed	Ras-related protein Ral-A (EC 3.6.5.2)	RALA RAL	5898;	Homo sapiens (Human)	206
ETS1	P14921	ETS1_HUMAN	reviewed	Protein C-ets-1 (p54)	ETS1 EWSR2	2113;	Homo sapiens (Human)	441
CCNB1	P14635	CCNB1_HUMAN	reviewed	G2/mitotic-specific cyclin-B1	CCNB1 CCNB	891;	Homo sapiens (Human)	433
ZNF131	P52739	ZN131_HUMAN	reviewed	Zinc finger protein 131	ZNF131	7690;	Homo sapiens (Human)	623
FEZ2	Q9UHY8	FEZ2_HUMAN	reviewed	Fasciculation and elongation protein zeta-2 (Zygin II) (Zygin-2)	FEZ2	9637;	Homo sapiens (Human)	353
NSDHL	Q15738	NSDHL_HUMAN	reviewed	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating (EC 1.1.1.170) (Protein H105e3)	NSDHL H105E3	50814;	Homo sapiens (Human)	373
DNM1	Q05193	DYN1_HUMAN	reviewed	Dynamin-1 (EC 3.6.5.5)	DNM1 DNM	1759;	Homo sapiens (Human)	864
UBQLN2	Q9UHD9	UBQL2_HUMAN	reviewed	Ubiquilin-2 (Chap1) (DSK2 homolog) (Protein linking IAP with cytoskeleton 2) (PLIC-2) (hPLIC-2) (Ubiquitin-like product Chap1/Dsk2)	UBQLN2 N4BP4 PLIC2 HRIHFB2157	29978;	Homo sapiens (Human)	624
MAST2	Q6P0Q8	MAST2_HUMAN	reviewed	Microtubule-associated serine/threonine-protein kinase 2 (EC 2.7.11.1)	MAST2 KIAA0807 MAST205	23139;	Homo sapiens (Human)	1798
TRIM2	Q9C040	TRIM2_HUMAN	reviewed	Tripartite motif-containing protein 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM2) (RING finger protein 86) (RING-type E3 ubiquitin transferase TRIM2)	TRIM2 KIAA0517 RNF86	23321;	Homo sapiens (Human)	744
IGHMBP2	P38935	SMBP2_HUMAN	reviewed	DNA-binding protein SMUBP-2 (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent helicase IGHMBP2) (Glial factor 1) (GF-1) (Immunoglobulin mu-binding protein 2)	IGHMBP2 SMBP2 SMUBP2	3508;	Homo sapiens (Human)	993
NR3C1	P04150	GCR_HUMAN	reviewed	Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1)	NR3C1 GRL	2908;	Homo sapiens (Human)	777
PPP1R13B	Q96KQ4	ASPP1_HUMAN	reviewed	Apoptosis-stimulating of p53 protein 1 (Protein phosphatase 1 regulatory subunit 13B)	PPP1R13B ASPP1 KIAA0771	23368;	Homo sapiens (Human)	1090
CCL2	P13500	CCL2_HUMAN	reviewed	C-C motif chemokine 2 (HC11) (Monocyte chemoattractant protein 1) (Monocyte chemotactic and activating factor) (MCAF) (Monocyte chemotactic protein 1) (MCP-1) (Monocyte secretory protein JE) (Small-inducible cytokine A2)	CCL2 MCP1 SCYA2	6347;	Homo sapiens (Human)	99
ERBB2	P04626	ERBB2_HUMAN	reviewed	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)	ERBB2 HER2 MLN19 NEU NGL	2064;	Homo sapiens (Human)	1255
RRP12	Q5JTH9	RRP12_HUMAN	reviewed	RRP12-like protein	RRP12 KIAA0690	23223;	Homo sapiens (Human)	1297
HOMER2	Q9NSB8	HOME2_HUMAN	reviewed	Homer protein homolog 2 (Homer-2) (Cupidin)	HOMER2	9455;	Homo sapiens (Human)	354
VDAC1	P21796	VDAC1_HUMAN	reviewed	Voltage-dependent anion-selective channel protein 1 (VDAC-1) (hVDAC1) (Outer mitochondrial membrane protein porin 1) (Plasmalemmal porin) (Porin 31HL) (Porin 31HM)	VDAC1 VDAC	7416;	Homo sapiens (Human)	283
HERPUD1	Q15011	HERP1_HUMAN	reviewed	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein (Methyl methanesulfonate (MMF)-inducible fragment protein 1)	HERPUD1 HERP KIAA0025 MIF1	9709;	Homo sapiens (Human)	391
GAPDH	P04406	G3P_HUMAN	reviewed	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	GAPDH GAPD CDABP0047 OK/SW-cl.12	2597;	Homo sapiens (Human)	335
HLA-DMA	P28067	DMA_HUMAN	reviewed	HLA class II histocompatibility antigen, DM alpha chain (MHC class II antigen DMA) (Really interesting new gene 6 protein)	HLA-DMA DMA RING6		Homo sapiens (Human)	261
IDE	P14735	IDE_HUMAN	reviewed	Insulin-degrading enzyme (EC 3.4.24.56) (Abeta-degrading protease) (Insulin protease) (Insulinase) (Insulysin)	IDE	3416;	Homo sapiens (Human)	1019
NGRN	Q9NPE2	NGRN_HUMAN	reviewed	Neugrin (Mesenchymal stem cell protein DSC92) (Neurite outgrowth-associated protein) (Spinal cord-derived protein FI58G)	NGRN FI58G HT020	51335;	Homo sapiens (Human)	291
CNDP2	Q96KP4	CNDP2_HUMAN	reviewed	Cytosolic non-specific dipeptidase (EC 3.4.13.18) (CNDP dipeptidase 2) (Glutamate carboxypeptidase-like protein 1) (Peptidase A) (Threonyl dipeptidase)	CNDP2 CN2 CPGL HEL-S-13 PEPA	55748;	Homo sapiens (Human)	475
TM9SF3	Q9HD45	TM9S3_HUMAN	reviewed	Transmembrane 9 superfamily member 3 (EP70-P-iso) (SM-11044-binding protein)	TM9SF3 SMBP UNQ245/PRO282	56889;	Homo sapiens (Human)	589
ADI1	Q9BV57	MTND_HUMAN	reviewed	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54) (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD) (Fe-ARD) (Membrane-type 1 matrix metalloproteinase cytoplasmic tail-binding protein 1) (MTCBP-1) (Submergence-induced protein-like factor) (Sip-L)	ADI1 MTCBP1 HMFT1638	55256;	Homo sapiens (Human)	179
RAB31	Q13636	RAB31_HUMAN	reviewed	Ras-related protein Rab-31 (Ras-related protein Rab-22B)	RAB31 RAB22B	11031;	Homo sapiens (Human)	194
TMEM50A	O95807	TM50A_HUMAN	reviewed	Transmembrane protein 50A (Small membrane protein 1)	TMEM50A SMP1 UNQ386/PRO718	23585;	Homo sapiens (Human)	157
HACD3	Q9P035	HACD3_HUMAN	reviewed	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 3) (HACD3) (Butyrate-induced protein 1) (B-ind1) (hB-ind1) (Protein-tyrosine phosphatase-like A domain-containing protein 1)	HACD3 BIND1 PTPLAD1	51495;	Homo sapiens (Human)	362
YKT6	O15498	YKT6_HUMAN	reviewed	Synaptobrevin homolog YKT6 (EC 2.3.1.-)	YKT6	10652;	Homo sapiens (Human)	198
SNX6	Q9UNH7	SNX6_HUMAN	reviewed	Sorting nexin-6 (TRAF4-associated factor 2) [Cleaved into: Sorting nexin-6, N-terminally processed]	SNX6	58533;	Homo sapiens (Human)	406
BZW2	Q9Y6E2	5MP1_HUMAN	reviewed	eIF5-mimic protein 1 (Basic leucine zipper and W2 domain-containing protein 2)	BZW2 5MP1 HSPC028 MSTP017	28969;	Homo sapiens (Human)	419
UBE2J1	Q9Y385	UB2J1_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 J1 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme J1) (Non-canonical ubiquitin-conjugating enzyme 1) (NCUBE-1) (Yeast ubiquitin-conjugating enzyme UBC6 homolog E) (HsUBC6e)	UBE2J1 NCUBE1 CGI-76 HSPC153 HSPC205	51465;	Homo sapiens (Human)	318
EVL	Q9UI08	EVL_HUMAN	reviewed	Ena/VASP-like protein (Ena/vasodilator-stimulated phosphoprotein-like)	EVL RNB6	51466;	Homo sapiens (Human)	416
BACE2	Q9Y5Z0	BACE2_HUMAN	reviewed	Beta-secretase 2 (EC 3.4.23.45) (Aspartic-like protease 56 kDa) (Aspartyl protease 1) (ASP1) (Asp 1) (Beta-site amyloid precursor protein cleaving enzyme 2) (Beta-site APP cleaving enzyme 2) (Down region aspartic protease) (DRAP) (Memapsin-1) (Membrane-associated aspartic protease 1) (Theta-secretase)	BACE2 AEPLC ALP56 ASP21 CDA13 UNQ418/PRO852	25825;	Homo sapiens (Human)	518
MIF	P03971	MIS_HUMAN	reviewed	Muellerian-inhibiting factor (Anti-Muellerian hormone) (AMH) (Muellerian-inhibiting substance) (MIS)	AMH MIF	268;	Homo sapiens (Human)	560
MIF	P14174	MIF_HUMAN	reviewed	Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)	MIF GLIF MMIF	4282;	Homo sapiens (Human)	115
PIH1D1	Q9NWS0	PIHD1_HUMAN	reviewed	PIH1 domain-containing protein 1 (Nucleolar protein 17 homolog)	PIH1D1 NOP17	55011;	Homo sapiens (Human)	290
CAB39	Q9Y376	CAB39_HUMAN	reviewed	Calcium-binding protein 39 (MO25alpha) (Protein Mo25)	CAB39 MO25 CGI-66	51719;	Homo sapiens (Human)	341
IARS2	Q9NSE4	SYIM_HUMAN	reviewed	Isoleucine--tRNA ligase, mitochondrial (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	IARS2	55699;	Homo sapiens (Human)	1012
DSG2	Q14126	DSG2_HUMAN	reviewed	Desmoglein-2 (Cadherin family member 5) (HDGC)	DSG2 CDHF5	1829;	Homo sapiens (Human)	1118
KLHDC2	Q9Y2U9	KLDC2_HUMAN	reviewed	Kelch domain-containing protein 2 (Hepatocellular carcinoma-associated antigen 33) (Host cell factor homolog LCP) (Host cell factor-like protein 1) (HCLP-1)	KLHDC2 HCA33	23588;	Homo sapiens (Human)	406
BAG3	O95817	BAG3_HUMAN	reviewed	BAG family molecular chaperone regulator 3 (BAG-3) (Bcl-2-associated athanogene 3) (Bcl-2-binding protein Bis) (Docking protein CAIR-1)	BAG3 BIS	9531;	Homo sapiens (Human)	575
CNPY3	Q9BT09	CNPY3_HUMAN	reviewed	Protein canopy homolog 3 (CTG repeat protein 4a) (Expanded repeat-domain protein CAG/CTG 5) (Protein associated with TLR4) (Trinucleotide repeat-containing gene 5 protein)	CNPY3 CTG4A ERDA5 PRAT4A TNRC5 HSPC084 UNQ1934/PRO4409	10695;	Homo sapiens (Human)	278
LAP3	P28838	AMPL_HUMAN	reviewed	Cytosol aminopeptidase (EC 3.4.11.1) (Cysteinylglycine-S-conjugate dipeptidase) (EC 3.4.13.23) (Leucine aminopeptidase 3) (LAP-3) (Leucyl aminopeptidase) (Peptidase S) (Proline aminopeptidase) (EC 3.4.11.5) (Prolyl aminopeptidase)	LAP3 LAPEP PEPS	51056;	Homo sapiens (Human)	519
STUB1	Q9UNE7	CHIP_HUMAN	reviewed	E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (Antigen NY-CO-7) (CLL-associated antigen KW-8) (Carboxy terminus of Hsp70-interacting protein) (RING-type E3 ubiquitin transferase CHIP) (STIP1 homology and U box-containing protein 1)	STUB1 CHIP PP1131	10273;	Homo sapiens (Human)	303
NOSIP	Q9Y314	NOSIP_HUMAN	reviewed	Nitric oxide synthase-interacting protein (E3 ubiquitin-protein ligase NOSIP) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase NOSIP) (eNOS-interacting protein)	NOSIP CGI-25	51070;	Homo sapiens (Human)	301
ENOPH1	Q9UHY7	ENOPH_HUMAN	reviewed	Enolase-phosphatase E1 (EC 3.1.3.77) (2,3-diketo-5-methylthio-1-phosphopentane phosphatase) (MASA homolog)	ENOPH1 MASA MSTP145	58478;	Homo sapiens (Human)	261
HSD17B11	Q8NBQ5	DHB11_HUMAN	reviewed	Estradiol 17-beta-dehydrogenase 11 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase 11) (17-beta-HSD 11) (17bHSD11) (17betaHSD11) (17-beta-hydroxysteroid dehydrogenase XI) (17-beta-HSD XI) (17betaHSDXI) (Cutaneous T-cell lymphoma-associated antigen HD-CL-03) (CTCL-associated antigen HD-CL-03) (Dehydrogenase/reductase SDR family member 8) (Retinal short-chain dehydrogenase/reductase 2) (retSDR2) (Short chain dehydrogenase/reductase family 16C member 2)	HSD17B11 DHRS8 PAN1B SDR16C2 PSEC0029 UNQ207/PRO233	51170;	Homo sapiens (Human)	300
SQRDL	Q9Y6N5	SQOR_HUMAN	reviewed	Sulfide:quinone oxidoreductase, mitochondrial (SQOR) (EC 1.8.5.8) (Sulfide dehydrogenase-like) (Sulfide quinone oxidoreductase)	SQOR SQRDL CGI-44	58472;	Homo sapiens (Human)	450
MRPS2	Q9Y399	RT02_HUMAN	reviewed	28S ribosomal protein S2, mitochondrial (MRP-S2) (S2mt) (Mitochondrial small ribosomal subunit protein uS2m)	MRPS2 CGI-91	51116;	Homo sapiens (Human)	296
NUP85	Q9BW27	NUP85_HUMAN	reviewed	Nuclear pore complex protein Nup85 (85 kDa nucleoporin) (FROUNT) (Nucleoporin Nup75) (Nucleoporin Nup85) (Pericentrin-1)	NUP85 NUP75 PCNT1	79902;	Homo sapiens (Human)	656
FIS1	Q9Y3D6	FIS1_HUMAN	reviewed	Mitochondrial fission 1 protein (FIS1 homolog) (hFis1) (Tetratricopeptide repeat protein 11) (TPR repeat protein 11)	FIS1 TTC11 CGI-135	51024;	Homo sapiens (Human)	152
NUSAP1	Q9BXS6	NUSAP_HUMAN	reviewed	Nucleolar and spindle-associated protein 1 (NuSAP)	NUSAP1 ANKT BM-037 PRO0310	51203;	Homo sapiens (Human)	441
MRPS16	Q9Y3D3	RT16_HUMAN	reviewed	28S ribosomal protein S16, mitochondrial (MRP-S16) (S16mt) (Mitochondrial small ribosomal subunit protein bS16m)	MRPS16 RPMS16 CGI-132	51021;	Homo sapiens (Human)	137
UFM1	P61960	UFM1_HUMAN	reviewed	Ubiquitin-fold modifier 1	UFM1 C13orf20 BM-002	51569;	Homo sapiens (Human)	85
NT5DC2	Q9H857	NT5D2_HUMAN	reviewed	5'-nucleotidase domain-containing protein 2 (EC 3.1.3.-)	NT5DC2	64943;	Homo sapiens (Human)	520
AKAP8L	Q9ULX6	AKP8L_HUMAN	reviewed	A-kinase anchor protein 8-like (AKAP8-like protein) (Helicase A-binding protein 95) (HAP95) (Homologous to AKAP95 protein) (HA95) (Neighbor of A-kinase-anchoring protein 95) (Neighbor of AKAP95)	AKAP8L NAKAP NAKAP95 HRIHFB2018	26993;	Homo sapiens (Human)	646
NPDC1	Q9NQX5	NPDC1_HUMAN	reviewed	Neural proliferation differentiation and control protein 1 (NPDC-1)	NPDC1	56654;	Homo sapiens (Human)	325
ANKRD10	Q9NXR5	ANR10_HUMAN	reviewed	Ankyrin repeat domain-containing protein 10	ANKRD10	55608;	Homo sapiens (Human)	420
DERA	Q9Y315	DEOC_HUMAN	reviewed	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)	DERA CGI-26	51071;	Homo sapiens (Human)	318
TEX10	Q9NXF1	TEX10_HUMAN	reviewed	Testis-expressed protein 10	TEX10 L18 Nbla10363	54881;	Homo sapiens (Human)	929
UBR7	Q8N806	UBR7_HUMAN	reviewed	Putative E3 ubiquitin-protein ligase UBR7 (EC 2.3.2.27) (N-recognin-7) (RING-type E3 ubiquitin transferase UBR7)	UBR7 C14orf130	55148;	Homo sapiens (Human)	425
TMEM2	Q9UHN6	CEIP2_HUMAN	reviewed	Cell surface hyaluronidase (EC 3.2.1.35) (Cell migration-inducing hyaluronidase 2) (Transmembrane protein 2)	CEMIP2 KIAA1412 TMEM2	23670;	Homo sapiens (Human)	1383
TRIB3	Q96RU7	TRIB3_HUMAN	reviewed	Tribbles homolog 3 (TRB-3) (Neuronal cell death-inducible putative kinase) (SINK) (p65-interacting inhibitor of NF-kappa-B)	TRIB3 C20orf97 NIPK SKIP3 TRB3	57761;	Homo sapiens (Human)	358
ZNF395	Q9H8N7	ZN395_HUMAN	reviewed	Zinc finger protein 395 (HD-regulating factor 2) (HDRF-2) (Huntington disease gene regulatory region-binding protein 2) (HD gene regulatory region-binding protein 2) (HDBP-2) (Papillomavirus regulatory factor 1) (PRF-1) (Papillomavirus-binding factor)	ZNF395 HDBP2 PBF	55893;	Homo sapiens (Human)	513
ADCK3	Q8NI60	COQ8A_HUMAN	reviewed	Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)	COQ8A ADCK3 CABC1 PP265	56997;	Homo sapiens (Human)	647
ISOC1	Q96CN7	ISOC1_HUMAN	reviewed	Isochorismatase domain-containing protein 1	ISOC1 CGI-111	51015;	Homo sapiens (Human)	298
